Provider Group Level based on AandE Type 1,Provider Code,Metrices Type,Metric,Label,SD away from Hospital Average,SD away from National Average
Bet Bottom & Top,RFF,Monthly,Dec_To_Adm_Over_12Hrs,M7,-0.4,-0.94
Bottom 10%,RFS,Monthly,AandE_Attends_Type1,M1,2.03,-1
Bottom 10%,RFS,Monthly,Attends_Under_4Hrs_Arr_To_Adm_Tfr_Disch_Type1,M2,1.02,-1.25
Bottom 10%,RFS,Monthly,Attends_Over_4Hrs_Arr_To_Adm_Tfr_Disch_Type1,M3,2.07,-0.55
Bottom 10%,RFS,Monthly,Emerg_Adms_Via_Type1,M4,1.96,-0.41
Bottom 10%,RFS,Monthly,Emerg_Adms_Not_Via_AandE,M5,0.95,-0.56
Bottom 10%,RFS,Monthly,Dec_To_Adm_4_to_12Hrs,M6,1.21,0.16
Bottom 10%,RFS,Monthly,Dec_To_Adm_Over_12Hrs,M7,1.46,-0.59
Bet Bottom & Top,RLT,Monthly,AandE_Attends_Type1,M1,0.21,-0.88
Bet Bottom & Top,RLT,Monthly,Attends_Under_4Hrs_Arr_To_Adm_Tfr_Disch_Type1,M2,-0.24,-0.67
Bet Bottom & Top,RLT,Monthly,Attends_Over_4Hrs_Arr_To_Adm_Tfr_Disch_Type1,M3,0.91,-0.97
Bet Bottom & Top,RGP,Monthly,AandE_Attends_Type1,M1,0.89,-0.79
Bet Bottom & Top,RLT,Monthly,Emerg_Adms_Via_Type1,M4,-1.53,-1.34
Bet Bottom & Top,RGP,Monthly,Attends_Under_4Hrs_Arr_To_Adm_Tfr_Disch_Type1,M2,0.37,-0.73
Bet Bottom & Top,RLT,Monthly,Emerg_Adms_Not_Via_AandE,M5,-1.9,-1.26
Bet Bottom & Top,RGP,Monthly,Attends_Over_4Hrs_Arr_To_Adm_Tfr_Disch_Type1,M3,0.89,-0.74
Bet Bottom & Top,RLT,Monthly,Dec_To_Adm_4_to_12Hrs,M6,1.41,-0.28
Bet Bottom & Top,RGP,Monthly,Emerg_Adms_Via_Type1,M4,0.75,-0.89
Bet Bottom & Top,RLT,Monthly,Dec_To_Adm_Over_12Hrs,M7,-0.45,-0.94
Bet Bottom & Top,RGP,Monthly,Emerg_Adms_Not_Via_AandE,M5,1.37,-0.71
Bet Bottom & Top,RJC,Monthly,AandE_Attends_Type1,M1,0.87,-0.64
Bet Bottom & Top,RGP,Monthly,Dec_To_Adm_4_to_12Hrs,M6,2.09,-0.34
Bet Bottom & Top,RJC,Monthly,Attends_Under_4Hrs_Arr_To_Adm_Tfr_Disch_Type1,M2,1.35,-0.34
Bet Bottom & Top,RGP,Monthly,Dec_To_Adm_Over_12Hrs,M7,-0.38,-0.05
Bet Bottom & Top,RJC,Monthly,Attends_Over_4Hrs_Arr_To_Adm_Tfr_Disch_Type1,M3,-0.46,-0.85
Bet Bottom & Top,RH5,Monthly,AandE_Attends_Type1,M1,0.32,-0.8
Bet Bottom & Top,RJC,Monthly,Emerg_Adms_Via_Type1,M4,0.16,-0.71
Bet Bottom & Top,RH5,Monthly,Attends_Under_4Hrs_Arr_To_Adm_Tfr_Disch_Type1,M2,1.71,-0.83
Bet Bottom & Top,RJC,Monthly,Emerg_Adms_Not_Via_AandE,M5,1.59,-0.47
Bet Bottom & Top,RH5,Monthly,Attends_Over_4Hrs_Arr_To_Adm_Tfr_Disch_Type1,M3,-0.89,-0.64
Bet Bottom & Top,RJC,Monthly,Dec_To_Adm_4_to_12Hrs,M6,0.13,-0.63
Bet Bottom & Top,RH5,Monthly,Emerg_Adms_Via_Type1,M4,1.68,-0.71
Bet Bottom & Top,RJC,Monthly,Dec_To_Adm_Over_12Hrs,M7,-0.03,-0.94
Bet Bottom & Top,RH5,Monthly,Emerg_Adms_Not_Via_AandE,M5,2.77,0.54
Bet Bottom & Top,RKB,Monthly,AandE_Attends_Type1,M1,-0.06,0.1
Bet Bottom & Top,RH5,Monthly,Dec_To_Adm_4_to_12Hrs,M6,-0.52,-0.56
Bet Bottom & Top,RKB,Monthly,Attends_Under_4Hrs_Arr_To_Adm_Tfr_Disch_Type1,M2,1.84,0.04
Bet Bottom & Top,RH5,Monthly,Dec_To_Adm_Over_12Hrs,M7,-1.1,-0.83
Bet Bottom & Top,RKB,Monthly,Attends_Over_4Hrs_Arr_To_Adm_Tfr_Disch_Type1,M3,-1.22,0.15
Bet Bottom & Top,RH8,Monthly,AandE_Attends_Type1,M1,0.09,0.24
Bet Bottom & Top,RKB,Monthly,Emerg_Adms_Via_Type1,M4,0.2,0.1
Bet Bottom & Top,RH8,Monthly,Attends_Under_4Hrs_Arr_To_Adm_Tfr_Disch_Type1,M2,-0.04,0.02
Bet Bottom & Top,RKB,Monthly,Emerg_Adms_Not_Via_AandE,M5,0.84,0.81
Bet Bottom & Top,RH8,Monthly,Attends_Over_4Hrs_Arr_To_Adm_Tfr_Disch_Type1,M3,0.16,0.45
Bet Bottom & Top,RKB,Monthly,Dec_To_Adm_4_to_12Hrs,M6,-0.65,0.24
Bet Bottom & Top,RH8,Monthly,Emerg_Adms_Via_Type1,M4,0.54,0.15
Bet Bottom & Top,RKB,Monthly,Dec_To_Adm_Over_12Hrs,M7,0.44,-0.78
Bet Bottom & Top,RH8,Monthly,Emerg_Adms_Not_Via_AandE,M5,1.29,1.4
Bet Bottom & Top,RR7,Monthly,AandE_Attends_Type1,M1,0.05,-0.96
Bet Bottom & Top,RH8,Monthly,Dec_To_Adm_4_to_12Hrs,M6,-0.64,0.1
Bet Bottom & Top,RR7,Monthly,Attends_Under_4Hrs_Arr_To_Adm_Tfr_Disch_Type1,M2,0.28,-0.88
Bet Bottom & Top,RH8,Monthly,Dec_To_Adm_Over_12Hrs,M7,1.33,0.13
Bet Bottom & Top,RR7,Monthly,Attends_Over_4Hrs_Arr_To_Adm_Tfr_Disch_Type1,M3,-0.2,-0.88
Bet Bottom & Top,RHM,Monthly,AandE_Attends_Type1,M1,-0.36,0.02
Bet Bottom & Top,RR7,Monthly,Emerg_Adms_Via_Type1,M4,1.47,-0.82
Bet Bottom & Top,RHM,Monthly,Attends_Under_4Hrs_Arr_To_Adm_Tfr_Disch_Type1,M2,0.28,0.3
Bet Bottom & Top,RR7,Monthly,Emerg_Adms_Not_Via_AandE,M5,-0.28,-0.41
Bet Bottom & Top,RHM,Monthly,Attends_Over_4Hrs_Arr_To_Adm_Tfr_Disch_Type1,M3,-0.51,-0.3
Bet Bottom & Top,RR7,Monthly,Dec_To_Adm_4_to_12Hrs,M6,0.59,0.14
Bet Bottom & Top,RHM,Monthly,Emerg_Adms_Via_Type1,M4,1.14,0.23
Bet Bottom & Top,RR7,Monthly,Dec_To_Adm_Over_12Hrs,M7,-0.35,-0.72
Bet Bottom & Top,RHM,Monthly,Emerg_Adms_Not_Via_AandE,M5,0.8,0.34
Bet Bottom & Top,RNN,Monthly,AandE_Attends_Type1,M1,0.17,-0.42
Bet Bottom & Top,RHM,Monthly,Dec_To_Adm_4_to_12Hrs,M6,0,-0.62
Bet Bottom & Top,RNN,Monthly,Attends_Under_4Hrs_Arr_To_Adm_Tfr_Disch_Type1,M2,0.1,-0.29
Bet Bottom & Top,RHM,Monthly,Dec_To_Adm_Over_12Hrs,M7,2,-0.92
Bet Bottom & Top,RNN,Monthly,Attends_Over_4Hrs_Arr_To_Adm_Tfr_Disch_Type1,M3,0.07,-0.49
Bet Bottom & Top,RHQ,Monthly,AandE_Attends_Type1,M1,0.63,-0.32
Bet Bottom & Top,RNN,Monthly,Emerg_Adms_Via_Type1,M4,1.02,-0.5
Bet Bottom & Top,RHQ,Monthly,Attends_Under_4Hrs_Arr_To_Adm_Tfr_Disch_Type1,M2,0.86,-0.49
Bet Bottom & Top,RNN,Monthly,Emerg_Adms_Not_Via_AandE,M5,0.66,-0.34
Bet Bottom & Top,RHQ,Monthly,Attends_Over_4Hrs_Arr_To_Adm_Tfr_Disch_Type1,M3,-0.07,-0.08
Bet Bottom & Top,RNN,Monthly,Dec_To_Adm_4_to_12Hrs,M6,0.24,-0.27
Bet Bottom & Top,RHQ,Monthly,Emerg_Adms_Via_Type1,M4,0.53,0.1
Bet Bottom & Top,RNN,Monthly,Dec_To_Adm_Over_12Hrs,M7,-0.02,0.29
Bet Bottom & Top,RHQ,Monthly,Emerg_Adms_Not_Via_AandE,M5,1.54,2.27
Top 10%,RTF,Monthly,AandE_Attends_Type1,M1,0.14,-0.36
Bet Bottom & Top,RHQ,Monthly,Dec_To_Adm_4_to_12Hrs,M6,-0.24,0.51
Top 10%,RTF,Monthly,Attends_Under_4Hrs_Arr_To_Adm_Tfr_Disch_Type1,M2,-1.19,0.22
Bet Bottom & Top,RHQ,Monthly,Dec_To_Adm_Over_12Hrs,M7,-0.45,-0.91
Top 10%,RTF,Monthly,Attends_Over_4Hrs_Arr_To_Adm_Tfr_Disch_Type1,M3,1.27,-0.95
Top 10%,RTF,Monthly,Emerg_Adms_Via_Type1,M4,-0.66,1.17
Top 10%,RTF,Monthly,Emerg_Adms_Not_Via_AandE,M5,1.37,-0.07
Top 10%,RTF,Monthly,Dec_To_Adm_4_to_12Hrs,M6,2.79,-1.2
Top 10%,RTF,Monthly,Dec_To_Adm_Over_12Hrs,M7,-0.3,-0.94
Bet Bottom & Top,RTD,Monthly,AandE_Attends_Type1,M1,0.04,0.26
Bet Bottom & Top,RTD,Monthly,Attends_Under_4Hrs_Arr_To_Adm_Tfr_Disch_Type1,M2,-0.47,0.38
Bet Bottom & Top,RTD,Monthly,Attends_Over_4Hrs_Arr_To_Adm_Tfr_Disch_Type1,M3,0.52,0.08
Bet Bottom & Top,RJ1,Monthly,AandE_Attends_Type1,M1,0.07,0.35
Bet Bottom & Top,RTD,Monthly,Emerg_Adms_Via_Type1,M4,0.21,0.18
Bet Bottom & Top,RJ1,Monthly,Attends_Under_4Hrs_Arr_To_Adm_Tfr_Disch_Type1,M2,-0.55,0.69
Bet Bottom & Top,RTD,Monthly,Emerg_Adms_Not_Via_AandE,M5,1.81,2.21
Bet Bottom & Top,RJ1,Monthly,Attends_Over_4Hrs_Arr_To_Adm_Tfr_Disch_Type1,M3,0.95,-0.08
Bet Bottom & Top,RTD,Monthly,Dec_To_Adm_4_to_12Hrs,M6,1.11,-0.28
Bet Bottom & Top,RJ1,Monthly,Emerg_Adms_Via_Type1,M4,1.59,0.38
Bet Bottom & Top,RTD,Monthly,Dec_To_Adm_Over_12Hrs,M7,1.45,-0.69
Bet Bottom & Top,RJ1,Monthly,Emerg_Adms_Not_Via_AandE,M5,0.52,-0.19
Bet Bottom & Top,RJ1,Monthly,Dec_To_Adm_4_to_12Hrs,M6,-0.41,-1.23
Bet Bottom & Top,RJ1,Monthly,Dec_To_Adm_Over_12Hrs,M7,0.91,-0.82
Bet Bottom & Top,RJ2,Monthly,AandE_Attends_Type1,M1,-0.01,0.6
Bet Bottom & Top,RJ2,Monthly,Attends_Under_4Hrs_Arr_To_Adm_Tfr_Disch_Type1,M2,-0.64,0.12
Bet Bottom & Top,RJ2,Monthly,Attends_Over_4Hrs_Arr_To_Adm_Tfr_Disch_Type1,M3,0.76,1.03
Bet Bottom & Top,RJ2,Monthly,Emerg_Adms_Via_Type1,M4,0.42,0.38
Bet Bottom & Top,RJ2,Monthly,Emerg_Adms_Not_Via_AandE,M5,0.97,0.15
Bet Bottom & Top,RJ2,Monthly,Dec_To_Adm_4_to_12Hrs,M6,-0.98,0.48
Bet Bottom & Top,RJ2,Monthly,Dec_To_Adm_Over_12Hrs,M7,1.19,1.34
Bet Bottom & Top,RJ6,Monthly,AandE_Attends_Type1,M1,0.23,0.33
Bet Bottom & Top,RJ6,Monthly,Attends_Under_4Hrs_Arr_To_Adm_Tfr_Disch_Type1,M2,0.68,0.71
Bet Bottom & Top,RJ6,Monthly,Attends_Over_4Hrs_Arr_To_Adm_Tfr_Disch_Type1,M3,-0.45,-0.14
Bet Bottom & Top,RJ6,Monthly,Emerg_Adms_Via_Type1,M4,2.43,-1.02
Bet Bottom & Top,RJ6,Monthly,Emerg_Adms_Not_Via_AandE,M5,-0.61,-1.1
Top 10%,RQX,Monthly,AandE_Attends_Type1,M1,0.07,-0.06
Bet Bottom & Top,RJ6,Monthly,Dec_To_Adm_4_to_12Hrs,M6,1.36,-0.39
Top 10%,RQX,Monthly,Attends_Under_4Hrs_Arr_To_Adm_Tfr_Disch_Type1,M2,0.12,0.8
Bet Bottom & Top,RJ6,Monthly,Dec_To_Adm_Over_12Hrs,M7,-0.83,-0.32
Top 10%,RQX,Monthly,Attends_Over_4Hrs_Arr_To_Adm_Tfr_Disch_Type1,M3,-0.05,-1
Top 10%,RJ7,Monthly,AandE_Attends_Type1,M1,-0.39,-0.23
Top 10%,RQX,Monthly,Emerg_Adms_Via_Type1,M4,1.22,-0.84
Top 10%,RJ7,Monthly,Attends_Under_4Hrs_Arr_To_Adm_Tfr_Disch_Type1,M2,-0.42,0.26
Top 10%,RQX,Monthly,Emerg_Adms_Not_Via_AandE,M5,1.36,-1.02
Top 10%,RJ7,Monthly,Attends_Over_4Hrs_Arr_To_Adm_Tfr_Disch_Type1,M3,-0.25,-0.73
Top 10%,RQX,Monthly,Dec_To_Adm_4_to_12Hrs,M6,-0.66,-1.05
Top 10%,RJ7,Monthly,Emerg_Adms_Via_Type1,M4,0.36,-0.41
Top 10%,RQX,Monthly,Dec_To_Adm_Over_12Hrs,M7,-0.76,-0.91
Top 10%,RJ7,Monthly,Emerg_Adms_Not_Via_AandE,M5,2.61,-0.17
Bet Bottom & Top,RTE,Monthly,AandE_Attends_Type1,M1,0.72,0.31
Top 10%,RJ7,Monthly,Dec_To_Adm_4_to_12Hrs,M6,0.19,-0.57
Bet Bottom & Top,RTE,Monthly,Attends_Under_4Hrs_Arr_To_Adm_Tfr_Disch_Type1,M2,1.15,0.39
Top 10%,RJ7,Monthly,Dec_To_Adm_Over_12Hrs,M7,-0.01,0.74
Bet Bottom & Top,RTE,Monthly,Attends_Over_4Hrs_Arr_To_Adm_Tfr_Disch_Type1,M3,0.1,0.16
Bet Bottom & Top,RTE,Monthly,Emerg_Adms_Via_Type1,M4,1.12,-0.21
Bet Bottom & Top,RTE,Monthly,Emerg_Adms_Not_Via_AandE,M5,1.78,0.58
Bet Bottom & Top,RTE,Monthly,Dec_To_Adm_4_to_12Hrs,M6,1.49,-0.53
Bet Bottom & Top,RTE,Monthly,Dec_To_Adm_Over_12Hrs,M7,-0.51,0.85
Bet Bottom & Top,RMC,Monthly,AandE_Attends_Type1,M1,-0.27,-0.36
Bet Bottom & Top,RMC,Monthly,Attends_Under_4Hrs_Arr_To_Adm_Tfr_Disch_Type1,M2,0.79,-0.21
Bet Bottom & Top,RMC,Monthly,Attends_Over_4Hrs_Arr_To_Adm_Tfr_Disch_Type1,M3,-1.21,-0.47
Bet Bottom & Top,RJE,Monthly,AandE_Attends_Type1,M1,0.47,0.57
Bet Bottom & Top,RMC,Monthly,Emerg_Adms_Via_Type1,M4,0.63,-0.63
Bet Bottom & Top,RJE,Monthly,Attends_Under_4Hrs_Arr_To_Adm_Tfr_Disch_Type1,M2,1.51,0.16
Bet Bottom & Top,RMC,Monthly,Emerg_Adms_Not_Via_AandE,M5,1.61,-0.29
Bet Bottom & Top,RJE,Monthly,Attends_Over_4Hrs_Arr_To_Adm_Tfr_Disch_Type1,M3,-0.46,0.93
Bet Bottom & Top,RMC,Monthly,Dec_To_Adm_4_to_12Hrs,M6,-0.33,-0.48
Bet Bottom & Top,RJE,Monthly,Emerg_Adms_Via_Type1,M4,2.41,1.54
Bet Bottom & Top,RMC,Monthly,Dec_To_Adm_Over_12Hrs,M7,0.71,0.4
Bet Bottom & Top,RJE,Monthly,Emerg_Adms_Not_Via_AandE,M5,1.8,2.25
Bet Bottom & Top,RJE,Monthly,Dec_To_Adm_4_to_12Hrs,M6,-0.15,0.16
Bet Bottom & Top,RJE,Monthly,Dec_To_Adm_Over_12Hrs,M7,0.45,1.61
Bet Bottom & Top,RJL,Monthly,AandE_Attends_Type1,M1,1.32,0.51
Bet Bottom & Top,RJL,Monthly,Attends_Under_4Hrs_Arr_To_Adm_Tfr_Disch_Type1,M2,0.07,0.5
Bet Bottom & Top,RJL,Monthly,Attends_Over_4Hrs_Arr_To_Adm_Tfr_Disch_Type1,M3,1.67,0.44
Bet Bottom & Top,RJL,Monthly,Emerg_Adms_Via_Type1,M4,2.09,0.87
Bet Bottom & Top,RJL,Monthly,Emerg_Adms_Not_Via_AandE,M5,1.14,-0.53
Bet Bottom & Top,RM3,Monthly,AandE_Attends_Type1,M1,0.79,2.71
Bet Bottom & Top,RJL,Monthly,Dec_To_Adm_4_to_12Hrs,M6,-1.08,-0.21
Bet Bottom & Top,RM3,Monthly,Attends_Under_4Hrs_Arr_To_Adm_Tfr_Disch_Type1,M2,1.21,2.32
Bet Bottom & Top,RJL,Monthly,Dec_To_Adm_Over_12Hrs,M7,1.19,1.47
Bet Bottom & Top,RM3,Monthly,Attends_Over_4Hrs_Arr_To_Adm_Tfr_Disch_Type1,M3,0.2,2.68
Bet Bottom & Top,RM3,Monthly,Emerg_Adms_Via_Type1,M4,1.22,2.17
Bet Bottom & Top,RM3,Monthly,Emerg_Adms_Not_Via_AandE,M5,1.46,0.52
Bet Bottom & Top,RM3,Monthly,Dec_To_Adm_4_to_12Hrs,M6,-1.29,0.93
Bet Bottom & Top,RM3,Monthly,Dec_To_Adm_Over_12Hrs,M7,0.51,1.27
Bet Bottom & Top,RMP,Monthly,AandE_Attends_Type1,M1,0.22,-0.53
Bet Bottom & Top,RMP,Monthly,Attends_Under_4Hrs_Arr_To_Adm_Tfr_Disch_Type1,M2,-0.36,-0.71
Bet Bottom & Top,RMP,Monthly,Attends_Over_4Hrs_Arr_To_Adm_Tfr_Disch_Type1,M3,0.47,-0.24
Bet Bottom & Top,RMP,Monthly,Emerg_Adms_Via_Type1,M4,1.72,-0.51
Bet Bottom & Top,RMP,Monthly,Emerg_Adms_Not_Via_AandE,M5,0.02,-0.71
Bet Bottom & Top,RMP,Monthly,Dec_To_Adm_4_to_12Hrs,M6,-0.09,-0.44
Bet Bottom & Top,RMP,Monthly,Dec_To_Adm_Over_12Hrs,M7,-1.19,-0.54
Bet Bottom & Top,RRF,Monthly,AandE_Attends_Type1,M1,0.6,-0.49
Bet Bottom & Top,RRF,Monthly,Attends_Under_4Hrs_Arr_To_Adm_Tfr_Disch_Type1,M2,-0.05,-0.72
Bet Bottom & Top,RRF,Monthly,Attends_Over_4Hrs_Arr_To_Adm_Tfr_Disch_Type1,M3,0.98,-0.15
Bet Bottom & Top,RJZ,Monthly,AandE_Attends_Type1,M1,0.53,0.79
Bet Bottom & Top,RRF,Monthly,Emerg_Adms_Via_Type1,M4,0.09,-0.57
Bet Bottom & Top,RJZ,Monthly,Attends_Under_4Hrs_Arr_To_Adm_Tfr_Disch_Type1,M2,0.46,0.29
Bet Bottom & Top,RRF,Monthly,Emerg_Adms_Not_Via_AandE,M5,2.77,-0.41
Bet Bottom & Top,RJZ,Monthly,Attends_Over_4Hrs_Arr_To_Adm_Tfr_Disch_Type1,M3,0.17,1.21
Bet Bottom & Top,RRF,Monthly,Dec_To_Adm_4_to_12Hrs,M6,0.75,0.49
Bet Bottom & Top,RJZ,Monthly,Emerg_Adms_Via_Type1,M4,0.13,0.31
Bet Bottom & Top,RRF,Monthly,Dec_To_Adm_Over_12Hrs,M7,1.52,0.05
Bet Bottom & Top,RJZ,Monthly,Emerg_Adms_Not_Via_AandE,M5,-1.59,-0.68
Bet Bottom & Top,RN5,Monthly,AandE_Attends_Type1,M1,0.94,0.19
Bet Bottom & Top,RJZ,Monthly,Dec_To_Adm_4_to_12Hrs,M6,-1.09,0.83
Bet Bottom & Top,RN5,Monthly,Attends_Under_4Hrs_Arr_To_Adm_Tfr_Disch_Type1,M2,1,0.45
Bet Bottom & Top,RJZ,Monthly,Dec_To_Adm_Over_12Hrs,M7,1.35,2.44
Bet Bottom & Top,RN5,Monthly,Attends_Over_4Hrs_Arr_To_Adm_Tfr_Disch_Type1,M3,-0.02,-0.12
Bet Bottom & Top,RK5,Monthly,AandE_Attends_Type1,M1,0.99,-0.15
Bet Bottom & Top,RN5,Monthly,Emerg_Adms_Via_Type1,M4,1.26,0.58
Bet Bottom & Top,RK5,Monthly,Attends_Under_4Hrs_Arr_To_Adm_Tfr_Disch_Type1,M2,-0.25,0.05
Bet Bottom & Top,RN5,Monthly,Emerg_Adms_Not_Via_AandE,M5,1.15,0.02
Bet Bottom & Top,RK5,Monthly,Attends_Over_4Hrs_Arr_To_Adm_Tfr_Disch_Type1,M3,1.05,-0.35
Bet Bottom & Top,RN5,Monthly,Dec_To_Adm_4_to_12Hrs,M6,0.57,0.4
Bet Bottom & Top,RK5,Monthly,Emerg_Adms_Via_Type1,M4,1.18,0.22
Bet Bottom & Top,RN5,Monthly,Dec_To_Adm_Over_12Hrs,M7,-0.34,-0.94
Bet Bottom & Top,RK5,Monthly,Emerg_Adms_Not_Via_AandE,M5,0.52,-0.8
Bet Bottom & Top,RK5,Monthly,Dec_To_Adm_4_to_12Hrs,M6,1.35,0.2
Bet Bottom & Top,RK5,Monthly,Dec_To_Adm_Over_12Hrs,M7,0.82,-0.18
Bet Bottom & Top,RKE,Monthly,AandE_Attends_Type1,M1,-0.19,-0.41
Bet Bottom & Top,RKE,Monthly,Attends_Under_4Hrs_Arr_To_Adm_Tfr_Disch_Type1,M2,-0.5,-0.15
Bet Bottom & Top,RKE,Monthly,Attends_Over_4Hrs_Arr_To_Adm_Tfr_Disch_Type1,M3,0.47,-0.63
Bet Bottom & Top,RKE,Monthly,Emerg_Adms_Via_Type1,M4,0.93,-1.29
Bet Bottom & Top,RKE,Monthly,Emerg_Adms_Not_Via_AandE,M5,-1.17,-1.23
Bet Bottom & Top,RLQ,Monthly,AandE_Attends_Type1,M1,0.78,-0.95
Bet Bottom & Top,RKE,Monthly,Dec_To_Adm_4_to_12Hrs,M6,-0.78,-0.86
Bet Bottom & Top,RLQ,Monthly,Attends_Under_4Hrs_Arr_To_Adm_Tfr_Disch_Type1,M2,0.24,-0.98
Bet Bottom & Top,RKE,Monthly,Dec_To_Adm_Over_12Hrs,M7,0.73,-0.11
Bet Bottom & Top,RLQ,Monthly,Attends_Over_4Hrs_Arr_To_Adm_Tfr_Disch_Type1,M3,0.56,-0.75
Bet Bottom & Top,RL4,Monthly,AandE_Attends_Type1,M1,0.2,0.39
Bet Bottom & Top,RLQ,Monthly,Emerg_Adms_Via_Type1,M4,1.49,-0.95
Bet Bottom & Top,RL4,Monthly,Attends_Under_4Hrs_Arr_To_Adm_Tfr_Disch_Type1,M2,-0.81,0.68
Bet Bottom & Top,RLQ,Monthly,Emerg_Adms_Not_Via_AandE,M5,1.21,-0.62
Bet Bottom & Top,RL4,Monthly,Attends_Over_4Hrs_Arr_To_Adm_Tfr_Disch_Type1,M3,1.21,-0.01
Bet Bottom & Top,RLQ,Monthly,Dec_To_Adm_4_to_12Hrs,M6,-1.26,-1.15
Bet Bottom & Top,RL4,Monthly,Emerg_Adms_Via_Type1,M4,2.2,1.84
Bet Bottom & Top,RLQ,Monthly,Dec_To_Adm_Over_12Hrs,M7,-0.62,-0.2
Bet Bottom & Top,RL4,Monthly,Emerg_Adms_Not_Via_AandE,M5,1.26,-0.18
Bet Bottom & Top,RQW,Monthly,AandE_Attends_Type1,M1,-0.04,-0.09
Bet Bottom & Top,RL4,Monthly,Dec_To_Adm_4_to_12Hrs,M6,1.06,0.25
Bet Bottom & Top,RQW,Monthly,Attends_Under_4Hrs_Arr_To_Adm_Tfr_Disch_Type1,M2,-0.7,-0.28
Bet Bottom & Top,RL4,Monthly,Dec_To_Adm_Over_12Hrs,M7,-0.16,-0.63
Bet Bottom & Top,RQW,Monthly,Attends_Over_4Hrs_Arr_To_Adm_Tfr_Disch_Type1,M3,1,0.12
Bet Bottom & Top,RQW,Monthly,Emerg_Adms_Via_Type1,M4,2.08,-0.53
Bet Bottom & Top,RQW,Monthly,Emerg_Adms_Not_Via_AandE,M5,-1.35,-0.81
Bet Bottom & Top,RQW,Monthly,Dec_To_Adm_4_to_12Hrs,M6,-1.16,-0.61
Bet Bottom & Top,RQW,Monthly,Dec_To_Adm_Over_12Hrs,M7,-0.12,-0.57
Bottom 10%,RTG,Monthly,AandE_Attends_Type1,M1,0.64,0.95
Bottom 10%,RTG,Monthly,Attends_Under_4Hrs_Arr_To_Adm_Tfr_Disch_Type1,M2,0.12,-0.03
Bottom 10%,RTG,Monthly,Attends_Over_4Hrs_Arr_To_Adm_Tfr_Disch_Type1,M3,0.74,1.88
Bet Bottom & Top,RM1,Monthly,AandE_Attends_Type1,M1,0.55,-0.01
Bottom 10%,RTG,Monthly,Emerg_Adms_Via_Type1,M4,0.37,0.57
Bet Bottom & Top,RM1,Monthly,Attends_Under_4Hrs_Arr_To_Adm_Tfr_Disch_Type1,M2,2.06,-0.01
Bottom 10%,RTG,Monthly,Emerg_Adms_Not_Via_AandE,M5,1.6,1.46
Bet Bottom & Top,RM1,Monthly,Attends_Over_4Hrs_Arr_To_Adm_Tfr_Disch_Type1,M3,-0.88,-0.01
Bottom 10%,RTG,Monthly,Dec_To_Adm_4_to_12Hrs,M6,0.76,0.51
Bet Bottom & Top,RM1,Monthly,Emerg_Adms_Via_Type1,M4,0.84,-0.41
Bottom 10%,RTG,Monthly,Dec_To_Adm_Over_12Hrs,M7,0.54,0.86
Bet Bottom & Top,RM1,Monthly,Emerg_Adms_Not_Via_AandE,M5,1.54,0.64
Top 10%,RN7,Monthly,AandE_Attends_Type1,M1,0.71,0.19
Bet Bottom & Top,RM1,Monthly,Dec_To_Adm_4_to_12Hrs,M6,0.74,0.36
Top 10%,RN7,Monthly,Attends_Under_4Hrs_Arr_To_Adm_Tfr_Disch_Type1,M2,1.98,0.8
Bet Bottom & Top,RM1,Monthly,Dec_To_Adm_Over_12Hrs,M7,-0.18,0.42
Top 10%,RN7,Monthly,Attends_Over_4Hrs_Arr_To_Adm_Tfr_Disch_Type1,M3,-0.63,-0.53
Top 10%,RN7,Monthly,Emerg_Adms_Via_Type1,M4,1.48,-0.13
Top 10%,RN7,Monthly,Emerg_Adms_Not_Via_AandE,M5,1.22,-0.8
Top 10%,RN7,Monthly,Dec_To_Adm_4_to_12Hrs,M6,-2.28,-0.76
Top 10%,RN7,Monthly,Dec_To_Adm_Over_12Hrs,M7,-0.6,-0.94
Bet Bottom & Top,RPA,Monthly,AandE_Attends_Type1,M1,-0.3,-0.52
Bet Bottom & Top,RPA,Monthly,Attends_Under_4Hrs_Arr_To_Adm_Tfr_Disch_Type1,M2,0.41,-0.47
Bet Bottom & Top,RPA,Monthly,Attends_Over_4Hrs_Arr_To_Adm_Tfr_Disch_Type1,M3,-0.74,-0.47
Bet Bottom & Top,RPA,Monthly,Emerg_Adms_Via_Type1,M4,-0.2,-0.53
Bet Bottom & Top,RPA,Monthly,Emerg_Adms_Not_Via_AandE,M5,1.1,0
Bet Bottom & Top,RPA,Monthly,Dec_To_Adm_4_to_12Hrs,M6,-0.97,-0.24
Bet Bottom & Top,RPA,Monthly,Dec_To_Adm_Over_12Hrs,M7,1.45,0.58
Bet Bottom & Top,RRV,Monthly,AandE_Attends_Type1,M1,0.6,0.43
Bet Bottom & Top,RRV,Monthly,Attends_Under_4Hrs_Arr_To_Adm_Tfr_Disch_Type1,M2,0.46,0.82
Bet Bottom & Top,RRV,Monthly,Attends_Over_4Hrs_Arr_To_Adm_Tfr_Disch_Type1,M3,0.44,-0.08
Bet Bottom & Top,RRV,Monthly,Emerg_Adms_Via_Type1,M4,-1.31,-1.1
Bet Bottom & Top,RRV,Monthly,Emerg_Adms_Not_Via_AandE,M5,-0.71,-0.96
